State,Data Acquisition Time,pH
Andhra Pradesh,09-03-2019 08:30,7.4
Andhra Pradesh,10-03-2019 08:30,7.3
Andhra Pradesh,11-05-2019 08:30,7.4
Andhra Pradesh,12-03-2019 08:30,7.6
Andhra Pradesh,01-11-2020 08:30,7.1
Andhra Pradesh,02-10-2020 08:30,7.8
Andhra Pradesh,03-11-2020 08:30,9.5
Andhra Pradesh,04-08-2020 08:30,7.4
Andhra Pradesh,05-08-2020 08:30,7.7
Andhra Pradesh,06-05-2020 08:30,7.2
Andhra Pradesh,07-10-2020 08:30,7.8
Andhra Pradesh,08-04-2020 08:30,7.7
Andhra Pradesh,09-03-2020 08:30,7.88
Andhra Pradesh,10-01-2020 08:30,8.46
Andhra Pradesh,11-06-2020 08:30,6.86
Andhra Pradesh,12-03-2020 08:30,7.9
Andhra Pradesh,24-06-2019 08:30,7.4
Andhra Pradesh,14-10-2019 08:30,7.2
Andhra Pradesh,13-04-2020 08:30,6.5
Andhra Pradesh,10-12-2020 08:30,7.3
Andhra Pradesh,27-05-2019 08:30,7.4
Andhra Pradesh,13-06-2019 08:30,7.4
Andhra Pradesh,18-07-2019 08:30,8.6
Andhra Pradesh,08-08-2019 08:30,7.4
Andhra Pradesh,09-12-2019 08:30,7.6
Andhra Pradesh,18-10-2019 08:30,7.4
Andhra Pradesh,14-11-2019 08:30,7.9
Andhra Pradesh,12-06-2019 08:30,8.1
Andhra Pradesh,17-01-2020 08:30,7.7
Andhra Pradesh,13-02-2020 08:30,7.1
Andhra Pradesh,03-11-2020 08:30,7.5
Andhra Pradesh,04-11-2020 08:30,7.6
Andhra Pradesh,14-05-2020 08:30,6.9
Andhra Pradesh,13-06-2020 08:30,7.8
Andhra Pradesh,15-07-2020 08:30,7.5
Andhra Pradesh,08-11-2020 08:30,8
Andhra Pradesh,14-09-2020 08:30,7.3
Andhra Pradesh,10-08-2020 08:30,7.6
Andhra Pradesh,11-10-2020 08:30,7.7
Andhra Pradesh,19-12-2020 08:30,7.2
Andhra Pradesh,02-09-2018 08:30,8.28
Andhra Pradesh,03-10-2018 08:30,8.13
Andhra Pradesh,04-02-2018 08:30,8.07
Andhra Pradesh,05-03-2018 08:30,8.06
Andhra Pradesh,06-04-2018 08:30,8.28
Andhra Pradesh,07-02-2018 08:30,7.52
Andhra Pradesh,08-10-2018 08:30,7.74
Andhra Pradesh,09-10-2018 08:30,7.45
Andhra Pradesh,10-04-2018 08:30,7.91
Andhra Pradesh,11-08-2018 08:30,7.99
Andhra Pradesh,12-03-2018 08:30,8.4
Andhra Pradesh,01-05-2019 08:30,8.2
Andhra Pradesh,02-02-2019 08:30,7.8
Andhra Pradesh,03-05-2019 08:30,7.8
Andhra Pradesh,04-02-2019 08:30,7.8
Andhra Pradesh,05-01-2019 08:30,8.1
Andhra Pradesh,06-01-2019 08:30,7.9
Andhra Pradesh,07-09-2019 08:30,8.4
Andhra Pradesh,08-03-2019 08:30,7.2
Andhra Pradesh,09-05-2019 08:30,7.3
Andhra Pradesh,10-05-2019 08:30,7.3
Andhra Pradesh,11-06-2019 08:30,7.6
Andhra Pradesh,12-05-2019 08:30,8.3
Andhra Pradesh,01-07-2020 08:30,8
Andhra Pradesh,02-01-2020 08:30,8
Andhra Pradesh,03-05-2020 08:30,7.8
Andhra Pradesh,04-08-2020 08:30,8.4
Andhra Pradesh,05-06-2020 08:30,8.8
Andhra Pradesh,06-03-2020 08:30,7.5
Andhra Pradesh,07-10-2020 08:30,7.8
Andhra Pradesh,08-07-2020 08:30,8.3
Andhra Pradesh,09-07-2020 08:30,8.03
Andhra Pradesh,10-01-2020 08:30,8.27
Andhra Pradesh,11-06-2020 08:30,7.68
Andhra Pradesh,12-10-2020 08:30,8.1
Andhra Pradesh,13-09-2019 08:30,7.6
Andhra Pradesh,10-11-2019 08:30,8.5
Andhra Pradesh,02-11-2020 08:30,Clear
Andhra Pradesh,03-08-2020 08:30,Clear
Andhra Pradesh,04-12-2020 08:30,Other
Andhra Pradesh,17-08-2020 08:30,7.7
Andhra Pradesh,30-09-2020 08:30,7.8
Andhra Pradesh,15-10-2020 08:30,8
Andhra Pradesh,01-10-2018 08:30,7.45
Andhra Pradesh,02-06-2018 08:30,7.88
Andhra Pradesh,22-03-2018 08:30,8.05
Andhra Pradesh,04-04-2018 08:30,7.22
Andhra Pradesh,05-10-2018 08:30,7.21
Andhra Pradesh,06-06-2018 08:30,7.56
Andhra Pradesh,07-12-2018 08:30,7.81
Andhra Pradesh,08-02-2018 08:30,7.45
Andhra Pradesh,09-06-2018 08:30,7.91
Andhra Pradesh,10-05-2018 08:30,7.48
Andhra Pradesh,11-01-2018 08:30,7.65
Andhra Pradesh,12-05-2018 08:30,7.3
